fire; None,None
water; None,None
air; None,None
earth; None,None
death; life,fire
magic; life,knowledge
tech; magic,knowledge
time; blackhole,magic
energy; dysonsphere,human
matter; magic,tech
electricity; energy,tech
god; immortality,belief
simulation; god,tech
reality; simulation,energy
steam; fire,water
bacteria; water,earth
bubble; water,air
charcoal; fire,wood
atmosphere; earth,air
mountain; earth,earth
sea; water,water
lava; fire,fire
life; bacteria,steam
ash; charcoal,fire
continent; mountain,mountain
ocean; sea,sea
volcano; mountain,lava
lifeform; life,bacteria
crust; continent,ocean
planet; crust,volcano
knowledge; life,death
immortality; life,life
stubborn; thought,bubble
tree; life,mountain
philosophy; knowledge,immortality
sun; planet,lava
human; knowledge,lifeform
ambition; human,stubborn
gold; mountain,tool
money; gold,human
wood; tree,human
stone; human,mountain
thought; human,philosophy
belief; stubborn,thought
tool; wood,stone
metal; human,tool
car; metal,knowledge
spaceship; car,tech
dysonsphere; sun,tool
pressure; energy,human
ultrapressure; pressure,pressure
blackhole; sun,ultrapressure
supermassiveblackhole; blackhole,blackhole
activesupermassiveblackhole; matter,supermassiveblackhole
universe; activesupermassiveblackhole,activesupermassiveblackhole
easteregg; reality,universe
